category,name,link
Beverage,Green Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=49
Beverage,Greenthread Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=939
Beverage,Hibiscus Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=848
Beverage,Horchata,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=942
Beverage,Hot Chocolate,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=818
Beverage,Japanese Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=29
Beverage,Madeira Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=765
Beverage,Malt Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=30
Beverage,Mate,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=47
Beverage,Milkshake,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=944
Beverage,Nutritional Drink,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=878
Beverage,Papaya Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=18
Beverage,Pear Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=19
Beverage,Plum Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=20
Beverage,Plum Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=37
Beverage,Port Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=38
Beverage,Raspberry Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=21
Beverage,Red Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=39
Beverage,Roibos Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=50
Beverage,Rose Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=40
Beverage,Rum,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=24
Beverage,Sake,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=41
Beverage,Scotch Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=31
Beverage,Sherry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=42
Beverage,Soft Drink,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=943
Beverage,Soy Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=861
Beverage,Sparkling Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=43
Beverage,Spirit,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=487
Beverage,Strawberry Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=44
Beverage,Vegetable Juice,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=941
Beverage,Vermouth,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=764
Beverage,Vodka,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=762
Beverage,Weinbrand Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=22
Beverage,Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=25
Beverage,White Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=45
Beverage,Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=32
Beverage,Wort,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=7
Cabbage,Broccoli,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=351
Cabbage,Brussels Sprout,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=352
Cabbage,Cabbage,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=353
Cabbage,Cauliflower,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=354
Cabbage,Hedge Mustard,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=647
Cabbage,Horseradish,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=355
Cabbage,Kai Lan,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=478
Cabbage,Kale,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=576
Cabbage,Kohlrabi,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=359
Cabbage,Komatsuna,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=475
Cabbage,Mustard,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=356
Cabbage,Pak Choy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=476
